Classe,NOM_min,area,perimeter
10,LECHERE DU FRAYET,37487.468750000000000,1071.078631871406742
10,GRAND ETANG LA ROUE,23579.078613281250000,1570.076852264384797
10,CORVEYZIEUX,10181.769531250000000,440.466142496668397
10,FRENE,79623.674804687500000,1480.927338202805231
10,POLLET,9082.962402343750000,621.096057458244786
10,PARADIS,68271.106933593750000,1524.361689966211088
10,VIEUX,94973.819335937514552,2556.117855808685363
10,RIOUX,92458.249999999985448,2415.922945893570613
10,TRIPOUX,393807.361328125000000,5596.777471019689074
10,LES RAGES,55688.826660156250000,933.741508155890870
10,GRANGES,5303.689453125000000,289.882489221890410
10,ONDONNIERE,7185.994628906250000,597.773860443810804
10,LONGEVAVRE,62748.801757812500000,2050.625029777876080
10,BIETONNAY,97604.104980468750000,3665.230310578253011
10,CHANTEMERLE,30509.099121093750000,1559.761439046648547
10,REMONDET NORD,184793.182128906250000,4806.996263348473803
10,GRAND RONZUEL,33940.474121093750000,1120.912852897030689
10,ROUE RONZUEL,43001.645019531250000,826.099992858758014
10,REMONDET SUD,12079.551757812500000,687.128402603015275
10,LECHERE,4444.398925781250000,391.660669087991835
10,SALE,34895.826171875000000,872.226652898818998
10,FOUR,14394.388671875000000,967.624954901049932
23,LECHERE DU FRAYET,583.250488281250000,278.592253591041469
23,GRAND ETANG LA ROUE,7069.962890625000000,953.236709282280344
23,PETIT ETANG LA ROUE,3593.305664062500000,340.901743286391195
23,CORVEYZIEUX,1330.498046875000000,333.254611319558762
23,LIGNIERE,9852.972167968750000,2298.133983473117951
23,FRENE,753.151367187500000,178.530967177719219
23,POLLET,8222.437988281250000,2285.879229399151882
23,PETIT RONZUEL,5123.179687500000000,1357.999544562182109
23,VIEUX BURLAT,3294.477050781250000,893.910642506188879
23,PARADIS,3515.107421875000000,1450.105152574573140
23,VIEUX,5649.382812500000000,1572.262111331518099
23,NEUF DE BURLAT,1190.534179687500000,303.670124033574439
23,RIOUX,606.695800781250000,199.164301856228235
23,TRIPOUX,6554.385253906250000,382.673372935898328
23,LES RAGES,2465.756835937500000,504.736671703996365
23,GRANGES,0.798828125000000,6.984444569224706
23,ONDONNIERE,1284.869628906250000,630.535515642375913
23,LONGEVAVRE,742.396484375000114,426.134820828969680
23,REMONDET NORD,3715.118164062500000,1524.019958941916911
23,GRAND RONZUEL,10080.226562500000000,2965.556325961153107
23,ROUE RONZUEL,541.003417968750000,292.781180795722094
23,REMONDET SUD,11618.883300781250000,2821.562625932334413
23,CARRONNIER,3268.902832031250000,1567.803521269373505
23,LECHERE,2104.593750000000000,758.398859311704086
23,SALE,10878.978027343750000,2816.626490146551077
23,FOUR,13053.085449218750000,3206.842873700702512
23,PLAT,10564.678710937500000,2846.276919676954094
9,GRAND ETANG LA ROUE,18331.541015625000000,733.011606957083245
9,PETIT ETANG LA ROUE,13927.554199218750000,483.092545417199290
9,FRENE,30153.498046875000000,859.018913822074637
9,BIETONNAY,5.095214843750000,28.092308124802749
9,LECHERE,3253.678710937500000,262.569088093244943
12,FRENE,2400.000000000000000,236.251184000825276
12,RIOUX,74.702148437500000,54.062265037518600
13,LECHERE DU FRAYET,76.097167968750000,47.206244184540807
13,GRAND ETANG LA ROUE,192319.205566406250000,6128.065234856994721
13,PETIT ETANG LA ROUE,141465.909179687500000,4034.179446003088287
13,CORVEYZIEUX,62978.393554687500000,2780.881279162466853
13,FRENE,97766.555175781250000,3915.375022592561891
13,POLLET,71620.593750000000000,1902.389867807669816
13,PETIT RONZUEL,130250.684570312514552,3580.489350640812518
13,VIEUX BURLAT,25974.383300781250000,917.716236501128265
13,PARADIS,118073.791015625000000,2806.303362202642347
13,VIEUX,122081.035156250000000,3916.883338359044956
13,NEUF DE BURLAT,41541.329589843750000,2286.852476346849926
13,RIOUX,253619.050781250000000,4174.320644984216415
13,TRIPOUX,204372.841308593750000,4199.596868776431620
13,LES RAGES,48583.840332031242724,2546.950206015621461
13,GRANGES,154316.435546875000000,3653.262524194764410
13,ONDONNIERE,8456.210937500000000,971.724894946564518
13,LONGEVAVRE,2699.184082031250000,654.922368349142289
13,BIETONNAY,149099.535644531250000,5811.464388524520473
13,CHANTEMERLE,60073.425781250000000,2256.972097653078890
13,REMONDET NORD,261806.340332031250000,5947.497545737162000
13,GRAND RONZUEL,182114.738769531250000,4430.207588848434170
13,ROUE RONZUEL,118980.378906250000000,4317.686062365241924
13,REMONDET SUD,83153.800292968750000,2328.181477432130578
13,CARRONNIER,74935.339355468735448,3160.450142170414438
13,LECHERE,33527.218750000000000,1809.710210249655120
13,SALE,47639.518066406250000,1196.205281693661846
13,FOUR,70546.767578125000000,2553.793301792617058
13,PLAT,193452.585937500000000,3296.911394667399236
16,LECHERE DU FRAYET,114424.286132812500000,2471.673372982649653
16,GRAND ETANG LA ROUE,297133.739257812500000,7989.252378859629971
16,PETIT ETANG LA ROUE,213543.559082031250000,4102.745724628846801
16,CORVEYZIEUX,218032.965820312500000,6611.757714926014160
16,LIGNIERE,221935.676757812500000,4673.837795968324826
16,FRENE,45304.110839843750000,2311.980421167507302
16,POLLET,118981.808105468750000,4390.276508069839110
16,PETIT RONZUEL,15941.798339843750000,2137.915353735372719
16,VIEUX BURLAT,10019.754882812500000,944.032552346109696
16,PARADIS,41811.927734375000000,3431.327013486515625
16,VIEUX,23428.479003906250000,1939.961951678376181
16,NEUF DE BURLAT,72525.313476562500000,1869.506156726619110
16,RIOUX,163980.263183593720896,5170.367667630021060
16,TRIPOUX,226556.984863281250000,5087.858478250855114
16,LES RAGES,45301.791015625000000,1909.997827714956657
16,GRANGES,25627.105468750000000,2185.679914667797675
16,ONDONNIERE,21852.896484375000000,1655.959841661316204
16,LONGEVAVRE,26530.355957031253638,1973.169861287509548
16,BIETONNAY,78518.647460937500000,3593.809795521574415
16,CHANTEMERLE,72457.924804687500000,2073.698158709727068
16,REMONDET NORD,229151.338378906250000,7150.346100358443437
16,GRAND RONZUEL,97952.941406249985448,5101.427546542285199
16,ROUE RONZUEL,36562.915527343750000,2891.046836551408433
16,REMONDET SUD,218007.364746093750000,5491.947928501383103
16,CARRONNIER,123076.500000000000000,4142.423604377243464
16,LECHERE,35480.288085937500000,2472.530386198972337
16,SALE,244095.536132812500000,5662.224002734464193
16,FOUR,157013.016601562500000,4348.332443813523241
16,PLAT,130821.959960937500000,4444.023126285162107
2,GRAND ETANG LA ROUE,10411.860351562500000,917.812787307240455
2,PETIT ETANG LA ROUE,5417.711914062500000,724.758442357412832
2,CORVEYZIEUX,102.924316406250000,63.666949075337783
2,FRENE,23110.150878906250000,1575.725480914966511
2,PETIT RONZUEL,2699.264648437500000,238.556771243084484
2,PARADIS,11803.666992187500000,421.007142514819577
2,VIEUX,17611.848632812500000,751.386830815001190
2,NEUF DE BURLAT,1662.502929687500000,204.253825568785885
2,RIOUX,1230.804687500000000,135.047893593100071
2,TRIPOUX,7859.324218750000000,591.607517908399700
2,LES RAGES,1649.237792968750000,361.025027278907828
2,GRANGES,43860.660156250000000,1988.726406485425514
2,ONDONNIERE,4460.957031250000000,595.881016517842227
2,LONGEVAVRE,12105.931152343750000,702.953958109797554
2,BIETONNAY,54797.037109375000000,1744.558327908945557
2,CHANTEMERLE,882.532714843750000,183.578952236146790
2,REMONDET NORD,22157.980957031253638,1554.466901134204136
2,GRAND RONZUEL,19.501464843750000,44.441596424562370
2,ROUE RONZUEL,2545.008300781250000,408.004018800796018
2,CARRONNIER,819.085937500000000,140.381716398598655
2,LECHERE,10435.982421875000000,1072.176494224817361
2,SALE,237.888671875000000,90.359890116129179
2,FOUR,434.219726562499943,117.456786256953436
2,PLAT,13428.460937500000000,826.986652035371776
15,GRAND ETANG LA ROUE,5052.560058593750000,322.564045329429973
15,PETIT ETANG LA ROUE,11.725585937500000,21.102864516980961
15,FRENE,6018.663574218750000,581.808523528577098
15,NEUF DE BURLAT,5260.005371093750000,631.131356838807392
15,LES RAGES,3306.304199218750000,444.864624933197547
15,REMONDET NORD,2460.017089843750000,240.208182714963414
15,ROUE RONZUEL,74.035644531250000,34.675554044702160
1,PETIT ETANG LA ROUE,6363.551757812500909,333.914346959225838
1,FRENE,4533.178710937500000,377.015404680487961
17,PETIT ETANG LA ROUE,755.170410156250000,112.640182752044083
17,FRENE,1590.544433593750000,184.466943955873774
17,GRAND RONZUEL,9.455078125000000,20.577226883395461
17,REMONDET SUD,1399.824218750000227,189.016198052097764
4,PARADIS,75.238769531250000,82.387042364175741
4,SALE,1047.002929687500000,167.853986510902701
6,GRAND ETANG LA ROUE,3944.982421875000000,355.923821634590297
6,PETIT ETANG LA ROUE,22788.924316406250000,2126.142892412654419
6,CORVEYZIEUX,9834.975585937500000,2613.401432295189352
6,FRENE,5123.082519531250000,1211.694358795009066
6,POLLET,384.002441406250000,152.089319525942329
6,PETIT RONZUEL,46602.638183593750000,1438.656391020349020
6,VIEUX BURLAT,65717.208007812500000,1982.766622614314656
6,PARADIS,32541.916015625000000,1823.614367117888605
6,VIEUX,54328.466308593742724,1681.785639584223190
6,NEUF DE BURLAT,39591.837890625000000,1459.403748560470831
6,RIOUX,9454.801269531250000,570.900784225871803
6,TRIPOUX,161727.810546875000000,3904.958571279728858
6,GRANGES,25627.677246093750000,730.698225462505093
6,ONDONNIERE,109866.402343749985448,3323.008341250129888
6,LONGEVAVRE,25315.917480468750000,797.675816396453456
6,BIETONNAY,118685.821777343735448,2998.410929469872826
6,CHANTEMERLE,16353.583007812500000,600.063135361433524
6,REMONDET NORD,70490.852539062500000,1890.599378817185880
6,GRAND RONZUEL,48155.899902343750000,1312.018941046056625
6,ROUE RONZUEL,125343.591308593735448,2403.608405792670510
6,REMONDET SUD,34033.750976562500000,991.445292816977826
6,CARRONNIER,72932.818847656250000,1811.965080419282685
6,LECHERE,29606.826171875000000,1607.039263941354420
6,SALE,72380.866210937500000,1153.209841915087509
6,FOUR,22202.167480468750000,1074.747231358157933
6,PLAT,1895.329589843750000,218.509943800204297
5,GRAND ETANG LA ROUE,5564.343261718750000,460.663400862332082
5,CORVEYZIEUX,90109.337402343750000,1197.071292981404440
5,LIGNIERE,22744.301757812500000,1031.097595478577887
5,POLLET,9814.316894531250000,401.469680116987433
5,LES RAGES,44125.213867187500000,1050.933471638626543
5,GRANGES,19592.537597656250000,875.807285212415309
5,LONGEVAVRE,54438.713378906250000,1170.297740847010800
5,BIETONNAY,17465.278320312500000,565.176101311918501
5,CHANTEMERLE,54985.442382812507276,1608.889008266813107
5,REMONDET NORD,57010.615722656250000,1212.181899493668425
5,REMONDET SUD,70780.729980468750000,1713.501295214947731
5,LECHERE,18129.260742187500000,841.165647987752322
