Type_OS;Code_OS;CN sol C Fav;CN sol C Defav;CN sol D Fav;CN sol D Defav
batis denses;1;98;98;98;98
batis diffus;2;88;90;91;93
zones ind et com;3;98;98;98;98
routes;4;98;98;98;98
colza;5;83;84;87;88
cereales pailles;6;83;84;87;88
protÈagineux;7;83;84;87;88
soja;8;85;88;89;91
tournesol;9;85;88;89;91
maÔs;10;85;88;89;91
riz;11;85;88;89;91
tubercules racines;12;83;84;87;88
prairies;13;74;85;80;88
vergers;14;85;88;89;91
vignes;15;85;88;89;91
forets feuillus;16;70;73;77;79
forets coniferes;17;70;73;77;79
pelouses;18;74;85;80;88
landes ligneuses;19;65;70;73;77
